"ItemType","Id","Name","Tier","Scope","Recommended","Selected","Risk","Purpose","Categories"
"Channel","Security","Security","Core","All","Y","Y","","The main audit log. Almost every behaviour category lands here. 1 GB so evidence is not overwritten within days.","Authentication; Execution; Account and access change; Privilege use; Logging tampered with; Directory and identity store; File and object access; Certificates and keys; Network flow and sessions; Scheduled and automated tasks; Removable and external devices"
"Channel","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell/Operational","Core","All","Y","Y","","PowerShell 5.1 module logging (4103) and script block logging (4104) land here. High value, high volume once those are on.","Scripting and command line; Execution"
"Channel","Windows PowerShell","Windows PowerShell","Core","All","Y","Y","","Classic PowerShell engine lifecycle log (400/403/600). Older but still used by detections for downgrade attacks.","Scripting and command line; Execution"
"Channel","PowerShellCore/Operational","PowerShellCore/Operational","Core","All","Y","Y","","PowerShell 7+ equivalent of the Operational log. Only exists if PowerShell 7 is installed - absent is NOT APPLICABLE.","Scripting and command line; Execution"
"Channel","System","System","Core","All","Y","Y","","Service installs (7045), service stop/start (7036), event log service stop, log cleared (104).","Software and service install; Persistence; Logging tampered with"
"Channel","Application","Application","Core","All","Y","Y","","MSI installs/uninstalls (MsiInstaller 1040/1034), ESENT database access (NTDS.dit dumping), application crashes.","Software and service install"
"Channel","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender/Operational","Core","All","Y","Y","","Defender detections, exclusions being added, tamper protection changes, history deletion.","Blocked and denied activity; Logging tampered with"
"Channel","Microsoft-Windows-Bits-Client/Operational","Microsoft-Windows-Bits-Client/Operational","Core","All","Y","Y","","BITS transfer jobs. bitsadmin.exe is a common living-off-the-land download/execute channel.","Execution; Persistence"
"Channel","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Core","All","Y","Y","","Firewall rules added, modified or deleted. Malware adds rules to let C2 traffic through.","Blocked and denied activity; Network flow and sessions"
"Channel","Microsoft-Windows-NTLM/Operational","Microsoft-Windows-NTLM/Operational","Core","All","Y","Y","","Outgoing NTLM usage, populated once the NTLM audit registry values below are set. Needed to plan NTLM retirement.","Authentication"
"Channel","Microsoft-Windows-Security-Mitigations/KernelMode","Microsoft-Windows-Security-Mitigations/KernelMode","Core","All","Y","Y","","Exploit protection / mitigation events (kernel mode).","Blocked and denied activity"
"Channel","Microsoft-Windows-Security-Mitigations/UserMode","Microsoft-Windows-Security-Mitigations/UserMode","Core","All","Y","Y","","Exploit protection / mitigation events (user mode).","Blocked and denied activity"
"Channel","Microsoft-Windows-PrintService/Admin","Microsoft-Windows-PrintService/Admin","Core","All","Y","Y","","Print service errors, including failed driver installs (PrintNightmare class attacks).","Software and service install"
"Channel","Microsoft-Windows-PrintService/Operational","Microsoft-Windows-PrintService/Operational","Core","All","Y","Y","","Print driver installs and print jobs. DISABLED by default so must be enabled. Note: the Yamato batch sizes this log but never enables it - the kit fixes that.","Software and service install"
"Channel","Microsoft-Windows-SmbClient/Security","Microsoft-Windows-SmbClient/Security","Core","All","Y","Y","","Outbound SMB session failures, rejected guest logons, hidden share mounts.","Remote access; Network flow and sessions"
"Channel","Microsoft-Windows-AppLocker/EXE and DLL","Microsoft-Windows-AppLocker/EXE and DLL","Core","All","Y","Y","","AppLocker allow/deny decisions for executables and DLLs. Only populates if AppLocker policy is deployed.","Blocked and denied activity; Execution"
"Channel","Microsoft-Windows-AppLocker/MSI and Script","Microsoft-Windows-AppLocker/MSI and Script","Core","All","Y","Y","","AppLocker decisions for installers and scripts.","Blocked and denied activity; Execution; Scripting and command line"
"Channel","Microsoft-Windows-AppLocker/Packaged app-Deployment","Microsoft-Windows-AppLocker/Packaged app-Deployment","Core","All","Y","Y","","AppLocker decisions for packaged (Store) app deployment.","Blocked and denied activity; Software and service install"
